,0
229,"
機種変更前に売れた売り上げ金を待たずに機種を変更したら
うまくいかず　以前のメルアドで登録しようとしたら出来ませんってなり　新しくメルアドを登録したら
複数の登録がありましたので　無期限の使用を制限しますだと
売り上げ金のこともあり　何度も何度も問い合わせても　免許証の確認　メルアドや連絡先　口座も変わってないのに　問い合わせをする度に免許証の確認ばかり　どんだけ管理悪いんだよ　複数の登録が確認されたなら　電話で確認してきてほしいわ
最悪なサイトだぜ　未だに売り上げ金もセンターに預けてある状態で知らん顔だわ　二度と使わないな　他のフリマやらも使用しているが　管理も対応も良いよ　このサイトにはガッカリだったな
"
230,"
ある日突然本人確認が必要だと言われ、これまで通常通り行われていたキャンセル処理や補填が受理されなくなりました。マイナンバーカードの情報を抜き取られました。
メルカリは過去に二回ほど個人情報の流出事件を起こしている危険企業なのに。最悪です。
損をしたくなくて仕方なく本人確認をしましたが、PayPayフリマなどの別のフリマアプリがもっと賑わえばいいのになと思いました。こんなとこ本当は使いたくないです。
"
231,"
10回位利用して特に不満はなかったのですが、
今回おかしなことがあったので書き込みます。
1.今回初めて出品しようと思い、天皇陛下御在位の記念硬貨を入力したら、「お取引出来ない商品の可能性があります」と警告が出ました。不審に思い規約を見たら「流通する紙幣(記念硬貨)は出品できません」となっていたので、皆んな出品しているけどどういうことですかとメルカリに問い合わせしたところ、規約を見てください。と不明確な回答だけでした。黙認していると言うことなのでしょうか？
2.最近メルカリでSONYの海外純正品と謳っているバッテリーを買いましたが、使用すると明らかに模造品でした。見た目では分からない位精巧に出来ていますが、直ぐに残量が減ります。大量に販売されているのでメルカリに問い合わせしましたが、「取引評価終了しているので対応できません」との返答でした。悪徳業者を野放しにしているのでしょうか？ネットで調べたら同じような書き込みが沢山ありました。
"
232,"
【良かった点】
人気商品は数分で売れて発送が楽

【気になった点】
クロネコヤマトの誤配送や
クレーマーの相談をしたのですが
連絡が数日後で自分で解決しなきゃいけない解答でした


【今後も引き続き利用・使用したいか？】
"
233,"
事務局から一度目をつけられると、ちょっとした些細な事で粗探しされ、利用制限、商品削除。
出品しても隠されます。

当方の場合は、相手の方からラクマなら安く出来るとの提案でした。
ラクマはやっておりませんと返事を返しただけで、当方だけ利用制限かけられました。
出品者の方は何の制限も無しです。
ここから事務局の嫌がらせが始まりました。
明らかにおかしな事ばかりでした。

取引相手が問題ありの件（キャンセルの申し出、受け取り評価しないなど）でも、こちらにもペナルティ負わせるのはおかしい。

出品隠し、おかしいでしょ？
出品する度に当方も確認してました。
閲覧回数付かない、出品に流れてこない、検索しても出てこない。

他の方が普通に出品していても、当方が出品すると消される。
何かにつけて粗探し。

いつ利用制限かけられるかわからないので、売上金は残らない様にしてました。

挙句に本人確認の為、強制的に利用制限かけられ。
本人確認って言いますけど、６年間メルカリやってて銀行口座やクレジットカード使用しているにもかかわらず、まだ書類が必要ですか？
これ以上の個人情報が必要ですか？
免許証、マイナンバー、保険証、パスポートなんて教えたくないので、退会しました。

退会手続きをきちんとしましたが、何故当方のアカウントは未だに残っているのか不思議です。
会員数を減らしたくないのでしょうか？
二度と復活させない様にでしょうか？

理不尽すぎます。

因みに当方は良い評価1500、悪い評価なしでした。
"
234,"
出品者側ですが購入者に悪いの評価をつけたらなんの連絡もなく削除されました。マナーが悪く不安な取引と記入しただけです。こメルカリにあまり悪いがないのはメルカリ側で購入者側の意見を尊重しているからだと思いました。メルカリショップでメルカリ側のシステム不具合で悪いをつけられて同意がないと削除できないと言われたのになぜ消したのか事務局は購入者の意見を尊重しているのだと思いました。今後出品は控えたいと思います。
"
235,"
売上金の一部が出品手数料と送料と売上金の振込手数料で消えるので、結果的に手元に残る売上金は半分以下になります。
"
236,"
初めてメルカリで42型のプラズマテレビを出品しました
初心者のため色々確認しながら『たのメル便』というのが便利なので少々送料が高いですがそちらを利用することにしました

なかなか売れずに数ヶ月経ったところ、購入希望の方が現れました
早速集荷の手続きの案内がメルカリから来て、操作は簡単ですぐに引き取りの日程が決まりました
そして当日、到着の前に事前連絡がありそこまではスムーズに進みました

しかし、配送員がテレビを確認したところ「プラズマテレビは取り扱いできません」の一言で帰って行きました
そんな注意書きあったかな？とメルカリのサイトを確認しても特に見当たりませんでした
ネットを見てみると、液晶以外のテレビの配送は非常に困難だと色々なところに記載があり初めて事情を知りました

メルカリの運営に確認したところ、他の配送を探すか取引キャンセルしかないとの事
他の配送を探すにも梱包したり金額が想定より多くかかったり受付てくれなかったりと労力だけがかかりました
結局購入者に謝り取引キャンセルをお願いするしかなく、運営側からの事情説明もなくただただこちらの非として謝りました
購入者の方には本当に申し訳なく思ってます

メルカリの運営にこの経緯と不満を告げても、今後改善しますとかお力になれずなど口先だけの回答

そもそもプラズマテレビと商品に書いてあり、たのメル便を利用できる状態がおかしいし他にも多数同様に出品している方がいます
たのメル便の集荷システムは当日集荷するものが何なのかもわかっていないのでしょうか？集荷に来てから断るということは事前に出品物の情報すら見ていないという事になります

売りたい出品者も買いたい購入者も被害者でこんなひどい対応のメルカリには本当にガッカリしました
"
237,"
定額払いのキャンペーンについてポイント還元がされてないようなので、問い合わせをしたが、調べもせず、キャンペーンの内容を貼り付けた回答。対象外になる場合など、自分がどれにあたるか不明で問い合わせをしたのですが。
対象外なのか、それともこれから還元されるのか等の回答をいただきたいと再度送信するも、また同じ回答。
お客様対応としては今までで1番最悪の企業です。
担当者の名前もなしです。
なので責任を持った対応をしないのでしょうね。
"
238,"
スマート払い初めて使った時使える上限がはじめから80,000だったのにそれを支払い期限まで遅れずにちゃんと払った。遅れずに払えば払った分が復帰するちゃんと書いてあった、安心して次の月ちゃんと使えると思った。ところが月があけてみると急に上限が10,000になった、それある？ひどくない？支払い遅れたならわかるよちゃんと払ってこういうことする会社何だから、違反としか思ってない、初めてこの会社😤
"
239,"
すみませんがなかなか売れません。
フリマアプリとしてあるはずが、業者(？)なのか何なのか分かりませんがいろいろな物がお店同様高額
"
240,"
購入希望者とメッセージをやり取りし、善意で相場より安くした3秒後に転売ヤーに購入されました。
購入者が決まったから値下げしたのに迷惑。
手元に入る金額は変わらないので、楽しんでくれるなら良いかと購入者を確認したら明らかに転売目的。
同系統のソフトにご丁寧に番号をつけて高額出品。
当然、本来の購入者に買ってほしいわけで、
運営に連絡したところ、購入は自由だからこちらでは対応できないと相手にされず、出品をキャンセルしたら規約違反になるぞと脅される始末。
売買は双方の合意によって成り立つ的なことを言ってましたが、こちらは合意してないからキャンセルするんですよ？
転売容認大賛成アプリは二度と使いたくない
"
241,"
説明文と異なる品を送られる事あり。
新品未使用で採寸数値も明記してあったが、送られて来たものは
悪臭放ちゴミのように丸められ紙袋でした。
出してみて、大きいようなので
採寸したら肩幅が6㎝も大きく
説明文と大違い。
出品者に連絡したが、返事もなく
当日、事務局から出品者からの連絡を待てとのこと。
翌日、事務局から画像と状態を送れと連絡あり。
その後、問題解決難しいので補償すると連絡あったのだが、出品者が間違いを認め謝罪すれば済ませたものを、出品者を擁護容認する内容ばかり、
こちらの質問、疑問には一切回答ぜず強制的に取引完了とされました。
後から、評価みたら同じような事で悪い評価されてました。

購入時には、残念評価も参考にしてください。
運営側は、詐欺紛いの出品者でも擁護容認し手厚く守ります。
購入者には、面倒な手続きに手間ひま掛させ不快な思いをさせて貰えます。
皆さんも、注意して下さい。
"
242,"
PCブラウザで何かするたびに「無意味な」重複電話認証を求められるのが非常に鬱陶しいです。
成りすまし防止のためのものなので電話認証するなとは言いませんが、例えばアカウント作成時に2回連続で電話認証をさせるのは無駄だし無意味です。（おそらく電話番号の登録用とログイン用の認証が重複して行われています）
例えば認証した直後の再ログインで再度認証を求めたり、ログインで認証した直後の登録情報の変更で再認証させるのも無意味です。
「同一ブラウザで3分以内の再認証は省略する」などの調整はCookieで可能なのに、何もしていないわけですね。
必要な認証はした方が良いですが、不要な認証はするべきではありません。
また、受取方法をコンビニ受取にするための工程がアプリ版とブラウザ版では購入を挟んで前後しているなど、仕様にブレも見られます。
これらが運営開発の技術力の低さから来るものなのかは分かりませんが、他の同種のサービスと比べてもあまりに酷いという印象を受けました。
一度システムを見直し根本から改善する必要性を強く感じます。
"
243,"
年末の大掃除で希少価値が高いウイスキーが出てきたので、メルカリで登録、出品して高額ながらも買い手がみつかり発送して受け取り、評価をもらって、振込申請をしたところで・・・
事務局からメールが来て！
セキュリティのため、個人確認が必要！
売上金が事務局預かりに！
個人確認は最初に済んでいるはずなのにと思いながら免許証を撮影して返信！
確認が取れたため制限解除と連絡があったが・・・
売上金は事務局預かりのまま！
事務局とのやり取りには早いときには翌日に回答、遅い時には３日位かかり、やり取りには不快しかなく、決まりきった文言しか返信がなく、こちらの聞きたい内容は全くなかったです。

振込申請して6日も経過しているのに振込には応じてくれていません。

詐欺まがいの事をしているのかと！メルカリには苛立ちを感じています。
"
244,"
今まで700件の取り引きをしましたが、使ってない貰い物のブランドを発見したので出品したら、本物かどうか分からないから永久停止にされました、100%取扱い説明書を読んでなかった私も悪いですが、悪気があった訳ではないと言う趣旨をお問い合わせしたら、個々への返答は出来ないと、意味不明なメッセージだけ届きました、永久停止されたので売上金がどうなるのか心配で調べたら戻ってこずに強制的に取り上げられた人達も居たそうです。幸運な事に私は売上金全額貰えました。今まで真面目にしていたのに、１発アウトで話も聞かない。調べれば調べるほど結構ブラックというか無責任な話がチラホラ、こう天狗になった企業はそのうち廃れるでしょう。。
"
245,"
メルカリ事務局の文面はとにかく偉そう!
すごく上から。
不愉快な気持ちになる。
どこぞのフリマアプリとは違い手数料も引いている訳だから少しは「ご利用して頂いている」という気持ちがあってはいいのでは?
そのくらい不愉快な言葉が並ぶ。
"
246,"
サポートの対応がホントに酷すぎる。
何度質問を変えても同じ回答しか来ないし。
もうメルカリを利用する事はありませんね。
これからはラクマを利用したいと思います。
"
247,"
⭐︎要点: 運営に理解不能な対応をされました。運営は取引取り消しと利用制限の根拠を詳細に明らかにすべきです。支払い方法の登録は、理解不能な請求があるかもしれないので慎重に。本人確認は理解不能な利用制限を受けてアカウントが利用不可能になるかもしれないので慎重に。サービスの質は企業の有名性だけでは判断できません。実際の利用者の声を聞き、集約し、自身で判断する他ありません。



※なるべく多くの人に読みやすいように、漢字の一部にふりがなを設けています。



・添付画像の説明
1枚目: 不正決済防止の観点からアカウントの利用を制限する旨の運営からのメール

2枚目: 購入を試みた9,900円の取引を取り消す旨の運営からのメール

3枚目: 2枚目の取引以前に成立していた取引を取り消す旨の運営からのメール

4枚目: 利用制限に関する問い合わせの内容

5枚目: 利用制限に関する問い合わせに対する運営からのメール

6枚目: メルカリに登録したプリペイド式クレジットカードに対する、なされる謂れ(いわれ)がないメルカリからの請求

7枚目: 2枚目の取引以前に成立していた取引の商品の配送状況



事の発端は、9900円のゲームソフト4点セットの購入を試みたことでした。この取引は、購入を試みた直後、「不正決済防止」という名目で取引を運営に取り消されました(画像1枚目、2枚目)。そして同時に、利用制限を施さ(ほどこさ)れ、これの解除は予定がないと私は告げられ、つまり無期限利用制限を受けました。本人確認済みであるにもかかわらずです。



私はこの対応が理解不能である旨を運営に伝えたところ(画像4枚目)、いわゆるテンプレのような形式的な返信(画像5枚目)を受け取り、その中で無期限利用制限に変更がないことを告げられました。この対応は、不満がある利用者の不満を解消しようと努力していると私には到底思えず、非常に残念でした。



その後、上述の取引とは別で、以前に成立していた取引が運営に取り消されました(画像3枚目)。これは商品が到着すると予定されていた日の朝(2022年2月17日木曜日の朝)のことでした。私は商品が到着するのを楽しみにしていましたが、配送状況(画像7枚目)を確認したところ、運営は配送業者であるヤマト運輸に配達を中止するよう要請したようでした。迷惑を被るのが私だけであるならば、まだ百歩譲って良くはありませんが、「マシ」です。しかし、取引には購入者のみならず、販売者も存在します。ゆえにこの取り消しは販売者にも迷惑が掛かっており、非常に腹立たしいです。



この一連の対応により、メルカリの利用は元よりできなくなったため、他のフリマに移行しました。余談ですがこれを「移行」と言うのは、メルカリの利用期間が短すぎて変な感じが私はしますが。そこでは、メルカリで購入しようかと思っていた欲しかったものが購入できました。不正決済防止のためにアカウントの利用制限を受けずにです。購入した商品は既に手元に届き、私は商品受け取り後の対応をし、取引は円滑に進行しています。このフリマは非常に快適です。しかし、これは非常に当たり前だと私は思います。このフリマでは、運営に何をされたわけではありません。フリマは特段問題がない限り、運営に何をされることもないのが当たり前だと私は思います。ゆえに、商売は、同業であっても、1つにおいて酷い経験をすると、当たり前が非常に崇高で有難いものに見えるのだと実感しました。



そもそも、「不正決済防止」とは何を基準に判断しているのでしょうか？運営に取り消された取引で私が選んだプリペイド式クレジットカードは、私が発行したもので、正真正銘私のものです。ゆえに不正決済は取引において一般論で言えば存在しません。対応が正当なものであるならば、運営はその根拠を詳細に明らかにすべきです。当事者の誰が読んでも同様に理解し、納得できるようにするためです。しかし、添付画像のメールの本文にあるとおり、「※管理運営上、判断基準については個別に回答しておりません。」と運営の今回の対応は到底これに該当せず、非常に恣意的で、強権的です。



今朝(2022年2月22日火曜日の朝)、メルカリに登録したプリペイド式クレジットカードから通知が届いたので、それを確認すると、メルカリからの請求があり、残高が0だったにもかかわらず、マイナスになっていました(画像6枚目)。金額は、上述した、商品が配送中止になった取引の購入金額と同様でした。この対応もまた、理解不能です。主な疑問は次の3つです。まず、運営により「中止」となった取引にもかかわらず、なぜ金銭が請求されるのか？次に、そもそも商品が手元にないにもかかわらず、請求された金銭が何の対価なのか？そして、取引が中止になって金銭が請求されるまで、なぜ6日という長期間(2022年2月17日木曜日から2022年2月22日火曜日まで)が経過しているのか？本当に理解不能です。この対応には、運営の信頼のなさが表れています。メルカリに支払い方法を登録したことを後悔しています。また今後も理解不能な請求があるのではないかと勘繰ってしまいます。



⭐︎最後までお読みくださりありがとうございました(^^)⭐︎
"
248,"
ペコちゃんマーク注意です。

商品取り置きしろとか、他の人が先に買った商品に自分が買う予定だと文句言ってくる。
挙げ句、高額商品購入し、住所不明商品放置、評価せず知らん顔
危険リストがあれば、載せるべき。
もう１週間以上　評価放置
メルカリが評価促したが、自動評価を拒否
そして放置、皆さん、本当に気をつけて下さい。
"
249,"
１００均一やアマゾン等の商品を売る無在庫転売の出品者。必ず４日～７日発送。
プロフに在庫確認し、在庫がない場合はキャンセルになるのは仕方がないとか色々。

１００均一で商品を無在庫出品しでその説明はなし。サイトからコピペ転載、ルール違反しまくりな出品者は野放し。無在庫転売は違法じゃないの？明らかに無在庫です！って本人が自分で説明しているのに。

出品者側がかなり上からな感じで、取引メッセージも高圧的のメッセージをもらった。事務局に問い合わせをしているが、なかなか事務局から返信がこない。
この取引がどうなるのか不安でしかない。
"
250,"
ニセモノを知らずにただ安いと思って購入したら
無制限利用停止になった。
あくまでも出品者が悪いのにメルカリ運営おかしすぎ。
"
251,"
何度か購入利用しました。その内の数名の出品者と売買が数回になると、どうしても連絡用にページを作る必要が出て来きた(売買終了後2週間で連絡欄が消されるため)ので、そのページで連絡を取り合ってメルカリ内で売買の準備を進めていたら、出品者との交渉中にそのページを削除されて、出品者と連絡を取れなくされました。

直ぐにメルカリ事務局にクレームを入れたら、「存在しない出品物は違反に該当するので削除致しました」との回答

私＝は？メルカリって頭悪いの？今から購入する段階で存在しない出品物って何ですか？私や出品者とのメッセージのやり取りを見てたの?それは不法行為責任を問われるの分かって盗み見てるの?と問い詰めました。

メルカリ＝「お客様同士のやり取りはトラブルが発生しない限り事務局では干渉しておりません」と回答

私＝は？じゃあ何故、私も出品者もトラブル申請など一切していないのに削除対象になったの？だから結局何がしたいの？ユーザーの売買手数料から10％の利益を獲てるのはあんた達だよ？仮に盗み見てもいいとして、それをメルカリ内で売買成立させてるんだからその売り上げの10％があんた達メルカリに入るんだよ?何をやってるの？

メルカリ＝「お客様には大変に不快な思いをさせてしまいまして誠に申し訳ありません。」

私＝は？回答になってないじゃん、「申し訳ありません」って謝るならそちらの否を認めてますよね？削除したページを元に戻して下さい。

メルカリ＝削除してしまったページはデータが存在しないしないため、元に戻せません。

私＝は？削除されたデータとして、削除された項目のページ内にデータがしっかり残っていますよ？

メルカリ＝「お客様には大変に不快な思いをさせてしまいまして誠に申し訳ありません。」
　
私＝だめだこりゃ、、、これだからメルカリは評価が低いんですよ。

メルカリ＝「お客様には大変に不快な思いをさせてしまいまして誠に申し訳ありません。」
　
以上のやり取りでした。
メルカリ最悪！
"
252,"
見に覚えがない購入、引き落としが発生しました。

購入日から2週間経っており、急いで問合せしたが
1ヶ月経った今でも返信なし。

クレジットカード会社に問い合わせたところ
即座にカードを停止、２件目の取引も行われていた
ようで２件まとめて、請求棄却の手続きを取って頂きました。

カード情報が漏れるようなこと(迷惑メールサイトに登録)は確認したが記録がなく、システム内で漏洩した可能性が非常に高いと思われます。

安心したサービスを提供できないようなので
使用することは控えることをおすすめします。
"
253,"
欲しい物がありメルカリに登録し、出品者と連絡をとり購入。
しかし、その後すぐに運営側からこんなお知らせが。

『お客さまのご利用状況を確認のうえ、利用者保護とクレジットカードまたはキャリア決済での不正決済防止の観点から、アカウントのご利用を制限いたしました。
※完了前の商品取引がある場合キャンセルしております

恐れ入りますが、制限解除の予定はございませんので今後のご利用はお控えください。』

おそらく、クレジットカードの名義が旧姓だったのが原因だと思われるが、登録する名前なんていくらでも偽造できるし、あまりにも一方的すぎる対応に呆れた。不正決済防止の観点からだそうですが、そもそも家族で名義の違うカードを使うことなんて良くあるだろうし、盗難されたカードは利用停止させることができる。運営者の頭が悪いんだなと感じた。

出品者さんには申し訳ないことをしました。もう一度登録しなおせば多分利用できるんでしょうけど、運営側が残念なサービスはもう使う気になりません。
"
254,"
出品禁止になっている違反品にも関わらず、通報しても黙認されている事例多数
例えば、NMBアイドルの未使用クオカードにおいて（1.画像ではカードの金額印字部分と当選通知の品名欄を隠す　2.商品名にはアイドル名等のみで、クオカードの一文無し　3.説明文にも、使用済みの文言無く、当選等のみ）このケースは明らかな確信犯で、通報後いいねをつけて様子見していたが、売れるまで結局削除されなかった。
違反品の削除も不公平極まりなく、違反者が一律で削除されていない実状、、、手数料目当ての黙認としか思えない。真面目に守っている利用者が馬鹿をみているということだ。

また、いいねつける人は十中八九買わない。売れてなんぼ、いいねは出品側からすれば正直煩わしい機能だ。
いいね＝単なるいいね程度に思っておいた方が気楽
"
255,"
他では何年も売買してきましたが、メルカリは初心者です。出品が主ですが、メルカリ事務局が購入者ファーストなので、とてもブランド品や高額品なんて恐ろしくて出品できないと思っています。今までほとんどスムーズに取引してきましたが、今後悪質な購入者に出くわすかもしれないので怖いです。悪質な購入者と戦った方のブログ記事とかありますが、メルカリの事務局の対応が酷いので、もう少し出品者側にも配慮して頂きたいと思います。いくら画像や説明文をたくさん掲載し誠意をもって出品したとしても、購入後難癖付けられたら…と思うと尻込みしてしまいます。
"
256,"
私はメルカリをもう6年以上利用している者です。とにかくメルカリは、いちいち出品制限が変わります。利用者も、毎回利用規約を読む人なんていないと思います。
以前普通に出品されていました。私も過去に出品し、削除なんかされませんでした。
未使用なのに、信じて貰えず今、退会を責めてきています。1000近く評価が付き、ほぼいい評価を受けているのに、そこは見ないらしくて、とにかく1つの失敗に、しかも知らなかった事なのに退会する事になりそうです。謝罪文を送りましたが、事務局の対応はまるでマニュアル通りかのように、同じ文面が送られて来ました…再度謝罪文を送りましたが、おそらくまた退会する事になるような文面でしょう。
"
257,"
ネチネチと値下げ要求され、送料、手数料で出品料の半分以上ハネラレる。本当にやってられないわ
"
258,"
コマーシャルでも簡単に出来る、素人のフリマ感覚と言う事ですがやはり相手あってのものなので購入者がどう思うかは、千差万別だと言うのは、覚悟のうえでした。しかし事務局サイドが内容を閲覧してるのも承知の上だが相手あっての事なのでなるべくトラブルにならないようにやり取りをしながら相手に寄り添ってやったつもりなのに（注意は、仕方ない）メルカリを停止させるような文言が送られてきた。素人の出品だから、簡単に出来るのでは？それならプロの方専用にするしかないのでは？もちろんこちらの不手際があったことも認めますが言い方の問題です。
"
259,"
送料込みにしないとほとんど売れない。利益より送料が多い。誰かに喜んでもらえるならのボランティアと思ってます。
"
260,"
何度か利用しましたが、今迄購入した時点で支払いも済ませ、いつも購入者さんからお礼のコメントでやり取りが始まっていましたが、今回それがないどころか発送の連絡もなく４日ぎりぎりの時点で発送。これではキャンセルも面倒、その後も一切コメントは無し!　多分私から購入しましたのコメントがなかったからではとクチコミなどを見て気づきました。だとしても購入してこんな不愉快な思いをするのは初めです!
"
261,"
メルカリ出品初めて二週間経ちました。
主に出品したのは自分のサイズオーバーの服、使わなくなったブランド品でした。
今回、問題あったのはブランド品です。
正規店で購入した本物のバッグでシリアルナンバーも記載し写真アップもしました。中々、売れないし、いいねばかりでウザい毎日でした。一点売れましたが返品されて送料、返品送料も全部私の負担でマイナス1600円で頭切れて　これをきっかけに残りのブランドバッグ処理して出品やめようとおもいまして(原価190000万円)のバッグを４万円で出品したら秒で売れました。もう一点も同じく４万円台に出品したらガイドライン違反とか言って出品制限掛かりました。驚きと戸惑いでした。ＡＩ以下のサポートセンター　アナログシステム

偽物はガンガン出品して売れてるのは制限しない、27億円の赤字を出した理由が分かりました。無能な事務所社員のせいとアナログシステムのせい
"
262,"
受取評価が全て良いの方から購入した際、取引中に納得のいかない事があり、良い評価をつけるべきかかなり悩みました。
その方は全て良い評価だったのでそれ以外をつけたら何かと難癖をつけてくるような気がしていたのです。受取評価は誹謗中傷、それに似たようなコメントをした時のみ削除され、それ以外は削除できないシステムになっています。それはわかっていたので、誰がみても不快に思わない評価内容だったのに事務局の方で削除されました。出品者の方とどんな話をしたのでしょうか？私は出品者の方から文句を言われる様な事は一切していません。なんとなく嫌な予感がしたのでかなり慎重なお取引しました。それなのに何故受取評価を一方的な意見だけで削除したのでしょうか？明らかな規約違反です。このような事があった少し前に私が違う方から誹謗中傷の様な評価内容をされたので、事務局に削除の依頼をしたら受取評価は削除できないと言われたばかりだったのでそれを踏まえかなり抗議をしました。それでも削除された評価はそのまま削除されたままで私への誹謗中傷の受取評価は削除されませんでした。この一件でメルカリの信用を失い、二度と事務局は信用しないときめました。事務局の方が規約を破り利用者には厳しくするなんて意味わかりません。メルカリのCMを毎日のように見ますが、そんな所に大金使ってるなら、社員への教育や悪徳利用者への対応にお金をかけて欲しいです。
ただメルカリを楽しみたいと思っている方がバカをみる会社なんてこの世から消えて欲しい。
"
263,"
始めての購入で販売者がジャンク記載無しの製品を送った来た。
出品者に連絡入れるも音沙汰無し。

問い合わせで出品者に連絡するよう促してます。24時間待って下さい、と来たので24時間待ち。
まぁジャンクと分かってて虚偽で売ったが故に連絡なんか来る訳もなく。

その後運営が返金保証しました、と連絡がありよくよく確認すると
クレジットで買ったのに、しっかりポイントで帰ってきてるって言うねｗ

要は返した金はココで消費してね☆って事なんだろう。姑息過ぎて呆れた。Q10と同じ汚い手口。

初回で懲りたので退会しようとしてた所にこれだよ笑った。

これもし退会後だったら、何ら対処出来ない所。本当に恐ろしいサイトだわ。

ペイペイフリマとかしっかりしてるし、他にも色々あるから別にここじゃなくても死なないし。
"
264,"
出品者が購入した商品がない為こちらの都合によりキャンセル申請がきて、勝手にキャンセルされた。
メルカリ事務局の適当な対応メールに凄く不愉快
メルカリルールでは手元にない商品を出品したらいけないはずなのに、出品しても良いという捉え方になりました。
もう少しちゃんと対応してほしい
対応が適当すぎる時と良いときの差が激しい
会社が有利になるように、対応してるのかと今回感じた
"
265,"
以前メルカリさんを信用して何度か利用させて頂きました。
トレッキングシューズを購入しその後利用したさい靴の先がパックリ開いてしまいよく見ると接着剤で貼り付けた跡がありとてもショックで、それ以来メルカリさんを利用していません。
皆さんも購入の際は気をつけて下さい。
"
266,"
初めての利用で１０万以上の商品を購入しクレジット決済にしました。無事購入できたので出品者に購入したことのメッセージを送りました。１，２時間後に確認するとメルカリ事務局キャンセルまた利用制限中になっていました。すぐに本人確認の書類（マイナンバーカード）を提出しました。４，５日間待ってみました。利用制限がまだ解除されていませんでした。購入を諦め退会しました。3週間ぐらい経ったころに本人確認完了の通知が来ました。なのでとても利用しにくいです。
"
267,"
いろいろな人から新品未開封を安く買ってあたかも自分の集めた品物と言って、売った人より高く売ってる人がいる
メルカリ同士の転売って禁止なはずなのに。
私は1000円以下で売ってその人同じ品物を1500円で売ってた。
売る時プチプチに包めと言ってきたからおかしいと思ってその人の履歴たどったらいろいろな人から
安く買って自分のページで高く売ってた。ここでその人の名前公表したいぐらい。イライラする。
"
268,"
民度が低いです。購入して届いたにも関わらず評価をしない購入者やなかなか受け取らない購入者が多く見受けられます。受け取り期間が過ぎて運営に問い合わせしても購入者が確認しないと対応できないという無能さ。真面目に取引してる方が損をし、ズボラで責任感のない購入者に優しいアプリです。さっさとサ終して新しい安心安全なフリマアプリができて欲しいです。
"
269,"
メルカリ初心者です　
本人登録に不備がありお問合せでやり取り２０回ほど（返事５回ほど）やりました　
12月よりやり取りをして1か月ほどで本人確認完了　1回買い物をした直後
すぐに利用制限がかかり　理由を聞いて指摘部分変更～完了しました　
完了連絡後　1月末には全く返事をいただけなくなりました　（こちらから10回ほど連絡）

自身登録違反何も問題がないはずなので最終的に　消費者センターに連絡　担当の方が連絡していただけるという事で連絡していただき（電話つながるんですね・・）

その日の夕方には解除のメール連絡が来て3か月かかりましたが　通常利用となりました　

もし同じような理由なき利用制限をされている方　もしかして消費者センターへ相談もいいかもしれません　私の場合何かあっても連絡が取れない経験上怖いのでもう利用はしませんが・・・
"
